age,income,education_level,marital_status,weekly_hours,children,housing_status,credit_score
66.0,29219.422014954016,Master,Single,45,4.0,Rent,190.45985150630867
44.0,33390.207299805326,,Divorced,49,2.0,Rent,815.4353056984776
59.0,63789.54304561632,High School,Single,52,1.0,Own,768.9913781813663
45.0,58287.861278875775,,Single,35,3.0,Rent,342.9758283373935
33.0,51526.46109481438,High School,Married,41,,Rent,611.3782199315744
32.0,45889.52278628082,Bachelor,Single,37,,Own,376.6896939426622
,53158.51966442878,High School,Married,26,1.0,Other,478.240684029005
68.0,63204.443738798735,PhD,Divorced,45,0.0,Own,697.2305901710705
61.0,72137.79920730928,Bachelor,Married,27,,Rent,762.0094234800106
,72855.26299160907,High School,Married,25,4.0,Own,757.3285878292329
20.0,55579.39851137747,,Single,49,,Other,648.9678408199907
54.0,47421.02464453219,Master,Divorced,58,,Other,855.0411472864889
68.0,52193.720117282835,Master,Married,42,,Other,477.8876601141236
24.0,57831.8053588262,High School,Single,51,,Other,522.2741672621404
,57771.00415767637,Master,Single,41,4.0,Other,81.07442335093151
26.0,69619.79955710158,Master,Married,28,,Other,581.3886964336623
56.0,81736.33582874983,High School,Single,50,,Rent,715.9386928073138
35.0,46921.180555788706,High School,Married,26,0.0,Rent,657.0519224017803
21.0,82338.27363236694,Bachelor,Married,28,,Own,475.19592935133005
42.0,67583.5887013759,High School,Married,32,3.0,Rent,768.9051212629071
31.0,48487.65514722188,Master,Divorced,22,,Other,585.2338495240947
67.0,72478.4725829762,,Married,54,4.0,Rent,753.2853424017402
26.0,75284.72452128747,PhD,Single,52,,Own,697.2299370212526
43.0,43095.5683370923,,Divorced,40,0.0,Other,884.9017917806057
19.0,75983.22878728472,High School,Single,50,2.0,Rent,667.8726725132408
37.0,66126.24231553945,High School,Divorced,53,,Rent,721.9885345868563
45.0,85528.38691968788,Bachelor,Divorced,51,3.0,Own,584.6565822589794
64.0,43639.421270007515,Master,Divorced,54,4.0,Other,499.4219699842011
24.0,44698.59884396006,,Divorced,34,,Own,698.1464415120729
61.0,19600.0680538499,High School,Single,51,,Other,900.5461395079418
25.0,58567.90880851943,High School,Married,25,,Other,476.8238704154038
64.0,55628.768834280774,High School,Single,40,1.0,Rent,550.3727342424825
52.0,41555.094926965,Bachelor,Married,52,,Own,605.330087043535
31.0,48772.23902767913,,Single,51,,Own,736.9792619883428
34.0,30331.68484737327,Bachelor,Divorced,38,,Own,669.0915965776325
53.0,67976.67429247529,Bachelor,Divorced,52,4.0,Other,782.61263128668
67.0,42654.50788207535,PhD,Married,47,,Own,994.781895128229
57.0,96410.73523431427,High School,Married,50,0.0,Other,472.2197380027608
21.0,47365.980489334506,High School,Single,40,3.0,Own,721.9457956290779
19.0,38605.717384275355,Bachelor,Married,53,1.0,Own,664.1279556374341
23.0,43815.303218977075,,Single,34,2.0,Rent,603.80804348559
59.0,28820.58535183623,High School,Married,33,,Own,721.2170447353567
,57234.07836054413,PhD,Married,38,,Rent,546.6393959203175
46.0,43701.50450331317,Master,Married,34,,Rent,664.6091463293974
35.0,66968.79185596606,High School,Divorced,25,,Other,338.9415140572102
43.0,45878.787572383735,High School,Divorced,28,,Own,492.23694437883546
61.0,70766.6316752847,Bachelor,Single,56,,Own,809.5041628219526
51.0,61361.83623975561,Master,Married,39,0.0,Own,801.8165965208841
27.0,50428.95165077516,High School,Single,53,4.0,Rent,651.886659343637
53.0,73703.48881026232,Bachelor,Married,57,2.0,Own,509.39004912205087
31.0,64284.40191555814,Bachelor,Divorced,45,3.0,Other,1530.106331873977
48.0,94193.19239994838,High School,Divorced,37,4.0,Other,847.2974762993275
65.0,43858.17132532693,Bachelor,Married,47,,Own,517.5266260217975
32.0,51149.24158187691,PhD,Married,28,4.0,Rent,308.99606266963684
25.0,73530.63516516394,High School,Divorced,51,0.0,Other,689.8269850908039
31.0,26846.932822473314,High School,Divorced,25,,Other,782.7536554814886
40.0,69754.15344848843,Bachelor,Single,33,1.0,Rent,717.4967052676153
57.0,56589.54136522206,Master,Divorced,47,,Other,913.015839445988
38.0,36676.83866829128,PhD,Married,43,3.0,Rent,913.8601331056286
,29554.405121733176,,Single,32,1.0,Other,538.9205406706333
62.0,39912.65790304574,Master,Married,31,4.0,Rent,639.7988771154239
35.0,15727.706415116423,Bachelor,Single,38,,Other,500.69303159739115
64.0,42656.908344627445,Bachelor,Married,40,4.0,Own,395.5872606785352
41.0,59338.345000138725,High School,Divorced,46,,Other,407.31213903960196
43.0,42855.49038546758,High School,Married,38,,Other,743.4042706526086
42.0,70824.69052150712,High School,Single,43,,Own,660.5775041372885
62.0,74899.21404087932,Bachelor,Married,45,,Own,777.9921681001679
58.0,69134.66723938662,High School,Single,47,,Own,1106.3242819932918
46.0,53459.613653965476,PhD,Married,37,,Own,699.9735206482794
,15129.81091270296,High School,Divorced,55,,Rent,132.72476525397613
,39444.53761951091,High School,Divorced,48,4.0,Rent,807.0253641349918
18.0,47869.422098384195,Bachelor,Married,36,,Other,438.69754153177826
42.0,36591.985257427834,Master,Married,23,1.0,Other,949.6673769569486
24.0,47907.417867701435,High School,Married,48,,Other,205.71016826559787
26.0,74151.01203040069,High School,Single,23,,Rent,490.6902099328473
41.0,25313.35205727023,PhD,Married,29,,Other,724.4276546221961
18.0,77175.3808417854,High School,Married,44,,Other,835.5041987649087
61.0,63270.89632631206,High School,Single,50,1.0,Rent,464.60337474196353
25.0,54023.25212416543,Master,Divorced,22,,Other,428.3484064293353
41.0,39295.75166388854,High School,Married,21,1.0,Rent,629.6734383272754
28.0,36890.74481762862,Bachelor,Married,44,4.0,Rent,981.7987700464771
68.0,25606.734281168905,,Divorced,25,4.0,Own,292.3244733336374
34.0,75751.48220471581,High School,Divorced,45,,Own,537.1759805655067
25.0,73064.17340111062,,Single,27,3.0,Rent,652.0370039451572
52.0,28905.730571250766,High School,Married,54,3.0,Rent,440.81012735176
52.0,41710.58007640698,High School,Married,46,,Own,440.12275645801424
50.0,56497.17153847863,High School,Single,44,,Other,553.3216770783097
22.0,45507.36292741688,,Divorced,37,,Other,658.5419652098949
59.0,21219.878644522734,High School,Single,20,0.0,Other,560.9876707006675
56.0,40133.40859166467,Bachelor,Divorced,58,,Rent,893.113130473193
58.0,79265.51447030029,Master,Single,22,,Own,718.52075568035
45.0,41150.32114378334,Bachelor,Divorced,23,,Other,676.6328046430144
24.0,47547.98994946689,High School,Single,56,2.0,Own,805.5307238616742
26.0,32822.33863946929,PhD,Divorced,34,3.0,Own,680.1605782829846
25.0,58816.44477925622,,Divorced,27,0.0,Rent,511.3626745397064
29.0,51727.27698536876,High School,Divorced,57,0.0,Other,547.3695093811235
51.0,38869.70387664532,Master,Divorced,38,,Own,374.11275727771596
50.0,30430.169062888624,Bachelor,Divorced,45,,Rent,1000.9756373082153
65.0,71068.15061016314,Bachelor,Married,58,,Rent,786.1447939468127
,25916.848900383797,,Divorced,29,3.0,Rent,88.08364936990091
,57557.23543384332,Bachelor,Married,57,2.0,Other,866.6256865285984
54.0,17691.811329326403,High School,Divorced,33,4.0,Other,306.8134719118772
52.0,60608.17524518574,PhD,Married,38,1.0,Rent,704.133795595256
61.0,64554.48330890091,High School,Married,49,,Other,159.1948492977317
57.0,66421.75567459871,Master,Single,24,,Other,514.3741317406854
39.0,47581.87297145198,Bachelor,Divorced,50,4.0,Own,868.1867015483679
44.0,73760.05408345544,,Single,26,,Rent,879.3267773238873
52.0,84616.87542494101,Master,Single,38,,Rent,661.3550785607936
18.0,45175.65295931055,Bachelor,Divorced,50,,Other,757.4929586475712
52.0,43234.92454805109,High School,Single,58,,Rent,317.28595483831754
54.0,52237.65890517404,High School,Divorced,43,2.0,Rent,707.6666545339996
64.0,42834.79781158689,High School,Single,53,1.0,Rent,770.1941486563678
31.0,40641.94705984819,Master,Divorced,42,4.0,Other,1113.9491675400277
20.0,41948.92189637736,Master,Divorced,59,,Other,475.356140063715
18.0,75736.34012009368,Bachelor,Divorced,25,4.0,Other,603.2605634056223
22.0,61578.22992553148,High School,Married,57,,Own,615.6230223304209
43.0,42785.80809112863,High School,Single,55,0.0,Rent,739.7167467552408
,13173.12461416571,Bachelor,Married,46,,Own,776.102137643127
56.0,26833.032595902987,Bachelor,Single,30,,Other,812.1830223579731
44.0,57551.43623902817,Master,Single,24,4.0,Own,398.79621593128115
26.0,18176.66087916774,PhD,Single,36,,Rent,151.8881707489283
32.0,54394.90291177934,High School,Married,26,,Rent,77.36062393685972
32.0,34016.544127024616,Bachelor,Single,46,,Other,497.12472258339295
,51377.0866187101,Bachelor,Married,34,,Other,592.916631078722
59.0,50957.84452001214,High School,Divorced,32,1.0,Own,477.3464481426201
30.0,51808.84900836066,High School,Single,30,,Other,609.6724456797358
68.0,44083.672293822194,High School,Single,45,,Own,532.7501144519599
49.0,43590.715615884015,Master,Divorced,41,,Rent,715.4881998838739
,39188.14371595342,Bachelor,Divorced,47,,Rent,393.261588992194
66.0,57258.38475862835,Bachelor,Single,43,1.0,Rent,584.4344460078548
69.0,62077.89012171423,PhD,Divorced,48,,Rent,585.965276756192
49.0,31715.412161958106,Master,Married,28,0.0,Rent,710.9398677016973
21.0,49225.57291561596,High School,Married,23,,Own,832.3809679425806
47.0,52948.73110231607,Bachelor,Single,37,1.0,Rent,936.821479624279
54.0,52756.56701934563,Bachelor,Married,35,,Own,450.8018439157113
40.0,52501.544293947765,Master,Married,52,0.0,Rent,200.0050778871015
56.0,43969.47784482164,Master,Single,48,,Own,165.48430627588283
62.0,54185.456381938086,Bachelor,Divorced,58,,Own,282.27662834003075
32.0,59270.4306647543,High School,Single,29,0.0,Own,1146.9153818513942
60.0,52115.54983733846,Master,Married,28,3.0,Other,425.4238962313939
46.0,57589.09754800586,,Single,50,,Own,712.7667531305462
53.0,64855.3011655626,High School,Single,47,,Own,786.8132213348858
30.0,22235.89463157098,High School,Married,22,3.0,Rent,668.1244656476006
49.0,64151.95762798051,High School,Married,33,,Own,1015.3440702618399
24.0,55136.41647831912,High School,Single,44,,Own,559.5037719768378
68.0,33325.6200839191,Master,Married,34,1.0,Other,433.0236485257031
39.0,62037.06323479533,PhD,Married,21,,Rent,422.6750775697483
,44025.18640964058,High School,Married,43,,Other,750.0011389207364
19.0,46070.503455221704,High School,Married,33,2.0,Other,562.0403507469886
59.0,42384.80326301507,High School,Married,26,,Other,422.7022021193565
62.0,54535.98266357337,High School,Married,55,,Own,688.2610431047144
,38219.7028623192,High School,Divorced,43,,Other,741.8498450176627
45.0,63522.119449216785,PhD,Single,46,,Other,654.2610372572423
45.0,47917.06119207993,High School,Married,56,,Rent,779.9192784671214
61.0,44536.96274768094,Bachelor,Single,57,1.0,Rent,1235.2394451401253
61.0,61293.135164209554,High School,Divorced,49,2.0,Rent,481.274932563748
37.0,45206.64856521379,Master,Married,46,,Rent,762.280014302302
47.0,64222.65238043452,,Single,58,3.0,Other,421.98234929433283
28.0,64693.89426261299,PhD,Married,34,,Rent,374.22293056000467
45.0,29977.942426715344,Master,Married,45,,Own,831.189929840133
42.0,66638.90303334386,,Married,20,2.0,Other,530.4304057966815
56.0,28069.460427471717,High School,Married,23,,Rent,933.1367818889944
50.0,67573.70790323766,Bachelor,Married,48,2.0,Other,771.3189573453212
18.0,80425.35788345359,High School,Married,20,2.0,Rent,515.2322572198321
44.0,63122.51657403697,Bachelor,Married,41,,Other,209.17328593576002
69.0,17645.290329504904,High School,Divorced,30,,Rent,1105.6760548893753
30.0,65953.48579079028,High School,Divorced,29,,Own,750.8546285624784
58.0,83691.93448904017,Bachelor,Married,36,0.0,Rent,716.339781348488
20.0,45454.52538502956,Bachelor,Married,55,,Other,481.05578527067587
56.0,49479.45019955165,,Divorced,45,,Other,968.9109392397456
23.0,32172.69917110352,High School,Divorced,40,0.0,Own,863.5875427025946
25.0,54681.19128229504,Bachelor,Divorced,32,0.0,Other,482.8875936546596
44.0,69037.65773814694,High School,Married,28,,Own,976.0825710819583
26.0,60466.05692224181,,Single,30,,Other,632.9502433004697
54.0,97129.50465931698,Bachelor,Single,30,1.0,Other,431.92366506599456
50.0,50495.40564448696,High School,Single,25,,Own,480.2962586362927
68.0,25539.899488771036,High School,Single,20,,Other,775.5402734149554
59.0,52564.56457352329,High School,Married,25,3.0,Other,433.29996862890016
61.0,13753.223521812652,High School,Single,32,3.0,Own,379.3767217894169
41.0,42003.441127032296,High School,Divorced,41,1.0,Rent,614.6701242195655
32.0,74365.73087900318,High School,Divorced,50,2.0,Own,542.0973551180775
49.0,54877.00472947657,High School,Single,41,,Other,465.3368948722876
49.0,52691.25219246903,High School,Divorced,56,,Rent,509.2110212123939
41.0,77311.70565073035,Bachelor,Married,46,0.0,Rent,783.3862468122785
58.0,45941.00162504945,High School,Single,33,0.0,Rent,195.39014618876692
69.0,68927.30619401163,High School,Single,24,0.0,Own,496.871849370299
66.0,51939.60462749511,High School,Married,55,4.0,Rent,514.430383543943
,55700.711951885394,Bachelor,Divorced,51,,Rent,573.6687647477295
69.0,31740.427162054806,Master,Married,53,0.0,Rent,585.1171584152958
29.0,42769.29807757675,Master,Married,26,1.0,Other,585.9627487565172
56.0,29037.226507341897,Master,Divorced,29,,Own,776.049532609997
19.0,48571.323826619824,Bachelor,Married,36,,Own,639.4076808584131
20.0,55856.035158744,Bachelor,Divorced,49,,Other,645.291535319843
66.0,33349.42842362822,,Divorced,40,,Rent,885.3570707400178
54.0,80737.68384027235,High School,Married,32,,Other,975.3302863784136
66.0,54171.59028637941,,Divorced,20,2.0,Other,707.6114855208004
34.0,50866.93378377829,,Married,20,2.0,Rent,284.21837752087634
66.0,61544.86627018438,PhD,Divorced,52,4.0,Rent,530.1187770755228
19.0,37566.07878701117,Bachelor,Single,57,,Own,756.6257145789295
19.0,52452.1621875118,Master,Divorced,44,,Rent,675.1972799974861
45.0,39247.00669463613,High School,Divorced,45,,Other,810.8199405423763
40.0,73380.19865133474,Bachelor,Married,32,,Other,521.5272308615772
54.0,34120.40975904378,High School,Divorced,47,1.0,Rent,208.65863356439968
49.0,50947.4818896076,High School,Single,52,1.0,Own,326.64365374439495
,54939.73677727664,Master,Single,56,0.0,Other,855.5361740780643
,55922.386166115524,Bachelor,Divorced,49,,Rent,812.3507211116438
,41281.472403757514,High School,Divorced,27,,Own,218.64063037957806
19.0,36567.35896782353,Master,Single,20,,Own,882.1315066616082
61.0,41498.072404308514,High School,Married,31,0.0,Other,692.9265023599211
43.0,57924.881513154236,PhD,Single,24,4.0,Other,585.9155803441258
49.0,47842.313436320546,High School,Single,43,,Own,474.6353684297662
23.0,61943.13212678782,,Divorced,25,,Own,918.2322153657997
49.0,57155.0557909261,High School,Divorced,44,,Own,779.4012865378135
21.0,15846.30952850588,High School,Single,20,2.0,Rent,698.1646903753294
28.0,53712.46695255816,High School,Married,44,4.0,Other,544.4633994711924
34.0,83756.82151724405,Bachelor,Single,20,0.0,Own,922.8362453800778
55.0,69879.03576557497,Master,Single,51,,Other,606.0702315909618
41.0,56330.19741060453,Master,Married,22,,Other,659.8034914116241
22.0,34109.11804295084,High School,Single,38,,Other,614.6118796355096
,57163.30574188469,Bachelor,Single,48,1.0,Own,446.88990707572134
51.0,61096.24909817388,High School,Divorced,21,,Rent,663.9441971833743
23.0,46193.79978758624,High School,Married,28,,Own,739.3877122916806
,54751.130882066565,Bachelor,Divorced,36,,Other,511.6785179732756
28.0,72644.9368759406,Bachelor,Divorced,55,,Own,646.8153321544621
65.0,37140.88370387411,High School,Married,36,4.0,Own,611.6998848753891
33.0,34125.5059256131,High School,Married,31,,Other,783.0262658949326
50.0,60390.48988991319,PhD,Single,39,1.0,Other,540.2117457462789
26.0,56863.13954297121,High School,Divorced,22,1.0,Own,645.3141927368815
23.0,65432.57443119217,Bachelor,Married,23,3.0,Own,687.4338802651229
,58546.90717855655,Bachelor,Divorced,36,,Own,535.6865808444865
46.0,41483.6740523871,High School,Divorced,56,0.0,Own,434.9290864640977
20.0,56482.88977198107,High School,Married,34,1.0,Rent,467.47877614957906
37.0,32868.101850557396,High School,Single,52,,Own,681.8380073057157
53.0,46245.21932400509,,Divorced,35,3.0,Rent,552.9367773445475
36.0,57541.98846449606,Bachelor,Married,30,,Other,550.2821082828714
43.0,44592.286749141655,Bachelor,Single,39,0.0,Rent,720.8295134031467
20.0,87020.78273344741,PhD,Divorced,57,,Other,1607.7966092114586
36.0,21617.236267644996,Master,Married,43,,Rent,1006.0118096027568
37.0,41787.64464501784,Bachelor,Divorced,35,2.0,Other,477.49976837951857
49.0,35933.30249195134,Bachelor,Married,49,,Own,784.5491237595318
24.0,39494.7678881307,,Married,53,,Rent,305.0989856129191
69.0,40355.02664778682,Bachelor,Divorced,20,,Rent,625.2140399260677
58.0,30103.689697115104,Bachelor,Divorced,43,,Other,585.3379613488014
50.0,61290.53222858941,Bachelor,Married,43,3.0,Other,543.64781656652
57.0,41793.570539193475,High School,Single,28,,Rent,387.2485630921998
,52453.60003382982,Bachelor,Divorced,41,4.0,Other,768.4506992809677
35.0,43477.61357134632,High School,Married,31,1.0,Own,586.2277511587472
57.0,39636.79381570686,High School,Married,36,,Rent,570.0580355951992
,75084.18854130275,High School,Single,44,,Own,737.468687616033
28.0,63843.98273314112,Bachelor,Single,47,,Rent,755.8966101744065
45.0,21976.99400067283,Bachelor,Single,34,,Own,479.8313462670369
42.0,20387.938274961696,,Divorced,49,1.0,Rent,484.60713500391245
67.0,65639.1325345473,Bachelor,Married,46,,Other,475.7288719028096
40.0,42202.19912676869,Bachelor,Married,41,,Rent,1022.702860559589
48.0,25263.76499098666,High School,Married,29,1.0,Own,895.4291973326997
47.0,65686.02698810512,,Single,50,,Rent,741.4080845082538
59.0,52536.860751486354,Master,Married,46,2.0,Own,524.9177523678711
52.0,53773.56627248479,Master,Divorced,31,,Own,548.6141935363767
24.0,62143.08908008861,Bachelor,Single,50,,Own,672.6874646152821
,30350.342625764097,Bachelor,Single,51,1.0,Other,1041.8260466434226
43.0,25527.48767923753,High School,Single,51,,Rent,657.7754318278526
65.0,73714.31442354803,High School,Single,54,0.0,Own,701.765115293585
69.0,28442.498588865612,High School,Divorced,40,0.0,Other,90.20378669057294
,31666.43304386654,PhD,Married,29,,Own,651.5157854593419
19.0,34663.46930681351,,Divorced,35,,Rent,321.22770664887776
18.0,81199.18885535783,High School,Married,26,,Other,502.60101655167836
65.0,57400.74950617284,Master,Divorced,23,,Own,609.3771843479715
29.0,64481.119616530705,PhD,Single,46,,Own,539.5796582145185
22.0,52942.51318368093,Master,Single,44,,Own,472.808015859995
54.0,40971.691831981494,High School,Divorced,50,3.0,Rent,474.59061873354443
49.0,59469.36924890252,High School,Divorced,30,4.0,Other,557.7903469683488
26.0,26650.76043804795,High School,Married,39,0.0,Other,549.0583163056804
58.0,33570.74821855257,High School,Divorced,55,4.0,Other,604.0545135973433
52.0,60994.62768892222,High School,Divorced,36,3.0,Own,589.1043364312684
36.0,29641.1715375983,,Married,30,0.0,Other,855.7751914506171
65.0,47163.7779625719,PhD,Married,49,,Own,190.07987121222936
33.0,47847.314834668825,High School,Married,54,,Rent,648.9946380500844
20.0,42070.06994994257,Bachelor,Divorced,57,3.0,Other,614.2019220496961
37.0,20733.222877267144,Bachelor,Married,41,,Own,573.1619303681609
41.0,40566.06663216961,High School,Single,46,4.0,Other,458.8379149538209
50.0,37625.47434601272,,Single,56,,Other,285.0291515321477
41.0,52421.59794931548,High School,Single,54,4.0,Rent,273.2984883800862
69.0,51657.35808049203,,Divorced,23,,Other,641.3435784400833
28.0,55669.42189905311,Master,Single,35,0.0,Rent,677.6118336841791
66.0,39860.205905384035,High School,Divorced,35,,Other,459.1863013967141
25.0,57841.669256988374,PhD,Divorced,40,,Other,988.138208423683
53.0,26659.899008394754,High School,Single,45,,Other,575.9111256503018
55.0,22671.429010214688,Bachelor,Married,55,3.0,Other,608.8145646586783
57.0,14966.409137500581,Bachelor,Divorced,38,,Other,867.1563329100311
37.0,42510.54140642004,High School,Single,36,,Other,1028.4246939736445
52.0,38700.52663492164,High School,Divorced,45,,Rent,375.33211721416455
65.0,61839.734177819,Bachelor,Married,41,,Rent,484.56750422533185
42.0,40270.06119426695,Master,Married,47,4.0,Own,289.7322831007102
52.0,54100.645219164006,,Single,20,,Other,451.42546207127555
42.0,62199.448648746155,Bachelor,Divorced,55,,Rent,769.2225042701011
46.0,39705.213865263264,Master,Divorced,56,,Other,429.40343278976655
35.0,54470.78315160763,Bachelor,Divorced,21,4.0,Other,853.3206327093267
63.0,65028.91323432792,Master,Divorced,36,2.0,Rent,724.7294498614946
35.0,31427.55837791649,Bachelor,Single,59,,Other,832.8086372367967
,50372.785073669664,Bachelor,Married,57,3.0,Rent,430.2992133643294
52.0,39769.48425201028,Master,Single,40,3.0,Rent,523.3011168160903
33.0,32382.651762602924,High School,Divorced,28,,Own,779.5971095568143
58.0,26953.223892646565,,Divorced,32,4.0,Own,743.3186379001162
53.0,32140.27141731949,Bachelor,Married,30,,Own,542.6282478093985
50.0,50900.43508628019,High School,Divorced,35,4.0,Own,571.0935071294177
21.0,25837.3331665738,High School,Single,35,0.0,Other,513.130410436029
50.0,41739.094638670445,High School,Single,21,,Other,565.7111951045945
,62197.91610279346,Bachelor,Married,27,,Own,406.9318920946563
38.0,56735.164451284036,Master,Single,32,1.0,Rent,373.35650934766795
65.0,42042.38565592765,High School,Single,36,4.0,Rent,801.0861031226847
37.0,75345.35620038086,Master,Single,58,,Rent,558.9191139833356
25.0,78395.54620867492,,Single,43,,Rent,830.2655481761403
24.0,50391.836473095886,High School,Divorced,22,,Other,719.1969603438824
20.0,12971.856261735375,Master,Single,49,,Rent,662.4021025213432
,63296.722955243895,PhD,Married,32,,Rent,457.9556519189767
50.0,15590.354899496218,Master,Married,38,1.0,Own,357.8440452003992
65.0,72142.19166080099,Master,Single,26,,Rent,508.6182562545707
29.0,66253.77351113448,PhD,Married,28,,Other,906.3834814847103
68.0,76613.1875620703,Bachelor,Single,38,0.0,Rent,777.7913725734334
,53903.9833755159,High School,Married,59,,Rent,489.9172025670539
39.0,44579.21349227243,Master,Married,41,0.0,Other,510.8879538524917
63.0,43248.48299464664,Bachelor,Single,37,2.0,Own,414.1821038819023
,41806.09743453654,Bachelor,Single,42,,Other,290.58287749316054
55.0,64716.02980512054,,Divorced,21,0.0,Own,620.3200026609054
55.0,60684.07234258817,Master,Single,30,,Rent,945.0154819432787
62.0,51803.384501513196,High School,Single,50,0.0,Own,947.5265400217767
68.0,39167.28038109542,PhD,Divorced,52,2.0,Own,721.5807919557207
25.0,89438.18946950408,High School,Single,33,,Own,479.4655119101747
44.0,63685.619209443044,High School,Single,35,,Rent,310.10395818722515
44.0,26034.321203398868,Bachelor,Divorced,30,4.0,Own,809.4124371285424
51.0,42256.1597609431,High School,Single,52,,Own,689.4433603114204
38.0,63976.64146113058,Bachelor,Single,26,,Rent,536.7543653378955
47.0,38006.91618150974,PhD,Divorced,50,,Other,503.34157953754544
50.0,55273.219382388335,Master,Divorced,33,,Other,720.0873155251685
45.0,64261.94450504222,High School,Married,47,1.0,Other,434.6756964305705
64.0,-826.4212398458985,High School,Single,35,2.0,Rent,647.8464333800084
50.0,48379.43450316125,Master,Married,38,,Rent,356.0356506478313
22.0,48968.137303476826,PhD,Married,36,,Other,1045.7023172876457
65.0,43818.91316474316,Bachelor,Divorced,45,,Own,462.590522878341
36.0,54525.42702419061,,Single,25,3.0,Other,729.6797912548932
21.0,59862.79411243812,,Single,28,3.0,Rent,360.3956707330093
,52130.764164869135,Master,Divorced,36,,Own,567.3493681801233
66.0,44392.589089258516,Bachelor,Married,50,,Own,776.9237113526841
34.0,59489.319496764045,High School,Divorced,31,,Rent,820.1910761248017
61.0,50735.801139115356,High School,Single,42,0.0,Own,752.6576526205836
45.0,46539.493802067824,Master,Divorced,24,1.0,Other,572.351134135388
47.0,30315.809219916213,High School,Single,55,3.0,Rent,466.80980077889456
46.0,26560.178221008824,High School,Married,55,,Rent,384.46457629617214
63.0,30031.553109288943,Bachelor,Single,22,,Rent,900.7597175542252
23.0,54174.93591830322,High School,Married,43,,Rent,620.6742479977252
52.0,48813.818785904725,High School,Married,36,1.0,Own,657.6478454177131
58.0,27795.738526888053,Master,Single,58,,Rent,833.0739707532216
54.0,59688.767386907166,Master,Single,45,,Rent,717.3462567110073
41.0,70614.64269768643,Master,Married,23,0.0,Own,574.5165493804735
46.0,41022.595749254964,Master,Divorced,31,,Rent,748.8806896761026
66.0,23885.27213947439,Bachelor,Single,20,3.0,Own,475.4907302976559
63.0,39363.10422647131,Master,Married,40,,Own,289.77170450366765
48.0,62816.90940192041,High School,Married,38,,Rent,882.3684484035699
52.0,58227.94787802161,Bachelor,Divorced,40,,Other,492.1593040532442
50.0,36163.50970982782,PhD,Single,37,0.0,Rent,539.1420074565298
69.0,72817.58206647114,High School,Married,22,4.0,Other,556.7833149747621
38.0,70224.20098889599,High School,Divorced,51,3.0,Own,479.5589280564779
49.0,39004.90905085039,Bachelor,Married,29,1.0,Other,820.2667723017198
40.0,38850.6499555255,High School,Single,59,0.0,Rent,674.8912387083922
50.0,41107.580939307656,High School,Divorced,34,,Rent,539.2426200405067
20.0,42390.00836917181,Master,Married,24,1.0,Other,344.86622379301116
35.0,64258.070118926655,PhD,Divorced,23,,Rent,660.7595630721509
42.0,56379.93590714891,Bachelor,Single,47,,Other,109.87806448439397
59.0,63156.18154025881,High School,Divorced,23,,Own,646.5492057138893
48.0,60103.4771478005,High School,Single,34,,Other,868.6360889710795
20.0,75717.90602290598,Master,Married,36,1.0,Other,612.9116819098108
57.0,34109.216842862894,Bachelor,Single,22,,Other,841.2654607452059
63.0,55705.37795575874,High School,Married,29,,Other,354.16448555244926
