id_vehiculo,marca,modelo,año,kilometros_recorridos,tipo_combustible,transmision,tipo_propietario,rendimiento,motor,potencia,asientos,precio_usd
47,Audi,Q7,2017,30000,Diesel,Automatic,First,14,2967,245,7,40000.0
48,BMW,X5,2018,28000,Petrol,Automatic,Second,14,2998,335,5,42666.67
49,Mercedes,GLA,2019,24000,Diesel,Automatic,First,17,2143,170,5,32000.0
50,Toyota,Camry,2016,38000,Petrol,Automatic,Second,19,2487,176,5,24000.0
51,Ford,Mustang,2019,22000,Petrol,Automatic,First,13,2261,396,4,36000.0
52,Hyundai,Venue,2018,32000,Petrol,Manual,Third,17,1197,81,5,7333.33
53,Tata,Tiago,2020,18000,Petrol,Manual,First,23,1199,84,5,6666.67
54,Mahindra,XUV300,2019,26000,Diesel,Manual,Second,20,1497,115,5,9333.33
55,Volkswagen,Vento,2017,32000,Petrol,Manual,Second,18,1598,103,5,8666.67
56,Audi,A5,2018,28000,Diesel,Automatic,First,17,1968,187,5,34666.67
57,BMW,3 Series,2020,15000,Petrol,Automatic,Second,15,1998,258,5,37333.33
58,Mercedes,C-Class,2019,22000,Diesel,Automatic,First,16,1950,191,5,38666.67
59,Toyota,Innova Crysta,2017,38000,Diesel,Manual,Second,13,2755,171,7,18666.67
60,Ford,EcoSport,2018,26000,Petrol,Manual,Third,18,1497,121,5,10000.0
61,Hyundai,Verna,2019,24000,Petrol,Automatic,Second,17,1497,113,5,11333.33
62,Tata,Altroz,2020,18000,Petrol,Manual,First,20,1199,85,5,8000.0
63,Mahindra,Thar,2021,10000,Diesel,Manual,First,15,2184,130,4,16000.0
64,Volkswagen,Passat,2017,32000,Diesel,Automatic,Second,17,1968,174,5,21333.33
65,Audi,A6,2018,28000,Petrol,Automatic,First,15,1984,241,5,42666.67
66,BMW,X3,2019,22000,Diesel,Automatic,Second,18,1995,187,5,37333.33
67,Mercedes,E-Class,2017,30000,Diesel,Automatic,First,16,1950,191,5,36000.0
68,Toyota,Fortuner,2018,38000,Diesel,Automatic,Second,12,2755,174,7,33333.33
69,Ford,Aspire,2019,26000,Petrol,Manual,Third,20,1194,94,5,8000.0
70,Hyundai,Elantra,2017,32000,Diesel,Automatic,Second,22,1582,126,5,10666.67
71,Tata,Safari,2018,42000,Diesel,Manual,First,14,1956,150,7,17333.33
72,Maruti,Vitara,2019,24000,Petrol,Manual,Second,17,1462,103,5,9333.33
73,Honda,WR-V,2018,28000,Diesel,Manual,First,25,1498,98,5,10000.0
74,Volkswagen,Ameo,2020,15000,Petrol,Automatic,Third,19,1197,74,5,6666.67
75,Audi,A3,2017,38000,Petrol,Automatic,Second,16,1395,148,5,26666.67
76,BMW,7 Series,2019,22000,Diesel,Automatic,First,15,2993,261,5,46666.67
77,Mercedes,GLE,2018,26000,Petrol,Automatic,Second,12,2996,362,5,53333.33
78,Toyota,Yaris,2020,18000,Petrol,Manual,First,17,1496,106,5,8666.67
79,Ford,Ranger,2017,38000,Diesel,Manual,Second,12,2198,158,5,20000.0
80,Hyundai,Santro,2019,26000,Petrol,Manual,Third,20,1086,68,5,6000.0
81,Tata,Tigor,2018,42000,Diesel,Manual,First,24,1047,69,5,6666.67
82,Maruti,S-Cross,2020,15000,Petrol,Automatic,Second,18,1462,103,5,9333.33
83,Honda,BR-V,2018,28000,Diesel,Manual,First,21,1498,98,7,11333.33
84,Volkswagen,T-Roc,2019,22000,Petrol,Automatic,Second,18,1498,148,5,21333.33
85,Audi,Q7,2017,30000,Diesel,Automatic,First,14,2967,245,7,40000.0
86,BMW,X5,2018,28000,Petrol,Automatic,Second,14,2998,335,5,42666.67
87,Mercedes,GLA,2019,24000,Diesel,Automatic,First,17,2143,170,5,32000.0
88,Toyota,Camry,2016,38000,Petrol,Automatic,Second,19,2487,176,5,24000.0
89,Ford,Mustang,2019,22000,Petrol,Automatic,First,13,2261,396,4,36000.0
90,Hyundai,Venue,2018,32000,Petrol,Manual,Third,17,1197,81,5,7333.33
91,Tata,Tiago,2020,18000,Petrol,Manual,First,23,1199,84,5,6666.67
92,Mahindra,XUV300,2019,26000,Diesel,Manual,Second,20,1497,115,5,9333.33
93,Volkswagen,Vento,2017,32000,Petrol,Manual,Second,18,1598,103,5,8666.67
94,Audi,A5,2018,28000,Diesel,Automatic,First,17,1968,187,5,34666.67
95,BMW,3 Series,2020,15000,Petrol,Automatic,Second,15,1998,258,5,37333.33
96,Mercedes,C-Class,2019,22000,Diesel,Automatic,First,16,1950,191,5,38666.67
97,Toyota,Innova Crysta,2017,38000,Diesel,Manual,Second,13,2755,171,7,18666.67
98,Ford,EcoSport,2018,26000,Petrol,Manual,Third,18,1497,121,5,10000.0
99,Hyundai,Verna,2019,24000,Petrol,Automatic,Second,17,1497,113,5,11333.33
100,Tata,Altroz,2020,18000,Petrol,Manual,First,20,1199,85,5,8000.0
