latitud,longitud,area_construida,area_total,dormitorios,baños,estacionamiento,bodega,piscina,quincho,precio_uf,comuna,distancia_a_estacion_cercana,estacion_cercana,metro
-33.2988325,-70.8781478,89,325,4,3,No,No,No,No,2588.21,LAMPA,19903.41853,No metro,No
-33.2921643,-70.8749214,51,103,3,1,Si,Si,Si,Si,1048.835,LAMPA,19836.44334,No metro,No
-33.299523,-70.8774719,75,181,3,2,Si,Si,Si,Si,1830.95,LAMPA,19816.64969,No metro,No
-33.299523,-70.8774719,75,181,3,2,Si,Si,Si,Si,1884.805,LAMPA,19816.64969,No metro,No
-33.289819,-70.871148,60,159,3,2,No,No,No,No,1345.31,LAMPA,19575.80704,No metro,No
-33.291606,-70.8712633,82,100,4,2,Si,Si,Si,Si,1050,LAMPA,19518.08821,No metro,No
-33.2975832,-70.8735198,80,200,4,2,Si,Si,Si,Si,1481.025,LAMPA,19511.10475,No metro,No
-33.297836,-70.87327,107,306,1,1,No,No,No,No,1631.21,LAMPA,19478.89298,No metro,No
-33.3004718,-70.8724661,100,220,2,3,Si,Si,Si,Si,2650,LAMPA,19313.19347,No metro,No
-33.297472,-70.870215,67,195,3,2,No,No,No,No,1533.57,LAMPA,19205.57357,No metro,No
-33.182001,-70.667551,79,166,3,1,No,No,No,No,499.3,COLINA,18494.22791,No metro,No
-33.185053,-70.6636323,49,80,2,1,Si,Si,Si,Si,1561.81,COLINA,18245.26516,No metro,No
-33.1840997,-70.6732471,43,111,2,1,No,No,No,No,557.13,COLINA,18222.94539,No metro,No
-33.1844298,-70.6732124,65,90,3,1,Si,Si,Si,Si,1804.15,COLINA,18190.41743,No metro,No
-33.186076,-70.6627352,64,104,3,2,Si,Si,Si,Si,1481.02,COLINA,18157.65183,No metro,No
-33.241348,-70.819568,141,300,4,2,Si,Si,Si,Si,1050.18,LAMPA,17900.73377,No metro,No
-33.6127672,-70.9030806,85,214,4,2,No,No,No,No,1889.04,PENAFLOR,17862.08865,No metro,No
-33.606694,-70.906166,61,167,3,2,No,No,No,No,1583.2,PENAFLOR,17777.73746,No metro,No
-33.1896222,-70.6740851,46,112,2,1,Si,Si,Si,Si,1884.94,COLINA,17665.25004,No metro,No
-33.6132553,-70.8996141,80,90,3,2,Si,Si,Si,Si,2342.71,PENAFLOR,17608.29868,No metro,No
-33.6054921,-70.9048246,110,220,4,3,Si,Si,Si,Si,4700,PENAFLOR,17599.82089,No metro,No
-33.6054921,-70.9048246,110,220,4,3,Si,Si,Si,Si,4700,PENAFLOR,17599.82089,No metro,No
-33.6054921,-70.9048246,110,220,4,3,Si,Si,Si,Si,4700,PENAFLOR,17599.82089,No metro,No
-33.230163,-70.802495,41,119,2,1,No,No,No,No,407.39,LAMPA,17559.65063,No metro,No
-33.613059,-70.896783,108,264,3,2,No,No,No,No,1782.22,PENAFLOR,17368.1317,No metro,No
-33.6119978,-70.8969611,115,168,4,3,Si,Si,Si,Si,4200,PENAFLOR,17319.7508,No metro,No
-33.192623,-70.681124,51,143,3,1,No,No,No,No,1185.9,COLINA,17313.71142,No metro,No
-33.197292,-70.650845,94,345,3,2,Si,Si,Si,Si,5990,COLINA,17284.46297,No metro,No
-33.193009,-70.680291,134,134,2,2,Si,Si,Si,Si,2590,COLINA,17279.94429,No metro,No
-33.19758,-70.65059,100,280,3,2,Si,Si,Si,Si,6500,COLINA,17262.33091,No metro,No
-33.197351,-70.651881,94,399,3,2,No,No,Si,No,4390,COLINA,17255.17288,No metro,No
-33.19764,-70.65097,100,350,3,2,Si,Si,Si,Si,5600,COLINA,17247.72115,No metro,No
-33.611904,-70.895316,66,135,2,1,No,No,No,No,1500,PENAFLOR,17181.51439,No metro,No
-33.199135,-70.648448,94,504.45,3,2,No,No,Si,No,4440,COLINA,17162.46829,No metro,No
-33.1985736,-70.6508417,107,523,4,3,Si,Si,Si,Si,7900,COLINA,17159.84273,No metro,No
-33.1992805,-70.6492099,108,448.53,4,3,No,No,No,No,6000,COLINA,17129.79079,No metro,No
-33.1992805,-70.6492099,94,465,3,2,No,No,No,No,4800,COLINA,17129.79079,No metro,No
-33.199149,-70.649777,94,465,3,2,No,No,No,No,4780,COLINA,17128.94356,No metro,No
-33.199006,-70.650377,108,108,4,3,No,No,No,Si,5530.000008,COLINA,17128.63882,No metro,No
-33.199416,-70.650029,94,465,3,2,No,No,No,No,4330.000005,COLINA,17097.01546,No metro,No
-33.1998173,-70.6487841,100,370,3,2,Si,Si,Si,Si,6100,COLINA,17088.07966,No metro,No
-33.2389791,-70.8054358,42,90,2,1,Si,Si,Si,Si,942.47,LAMPA,17085.74635,No metro,No
-33.199743,-70.649748,108,554.7,4,3,No,No,No,No,4510,COLINA,17071.9559,No metro,No
-33.200384,-70.647319,108,435,4,3,No,No,No,No,6400,COLINA,17069.7073,No metro,No
-33.195124,-70.683332,91,91,2,1,Si,Si,Si,Si,2208.07,COLINA,17053.142,No metro,No
-33.200122,-70.649174,108,651.57,4,3,No,No,No,No,4190,COLINA,17049.01987,No metro,No
-33.200409,-70.649396,94,504.45,4,3,No,No,No,No,4930,COLINA,17015.79105,No metro,No
-33.200409,-70.649396,108,534,4,4,No,No,No,No,4910,COLINA,17015.79105,No metro,No
-33.200335,-70.649704,94,461.67,4,3,No,No,Si,No,5290.000011,COLINA,17015.53992,No metro,No
-33.2011233,-70.6471227,167,500,5,3,Si,Si,Si,Si,8500,COLINA,17003.21491,No metro,No
-33.200919,-70.6484123,137.9,511,5,4,Si,Si,Si,Si,9300,COLINA,16990.47846,No metro,No
-33.200919,-70.6484123,137.9,511,5,4,Si,Si,Si,Si,9300,COLINA,16990.47846,No metro,No
-33.200919,-70.6484123,137.9,511,5,4,Si,Si,Si,Si,9300,COLINA,16990.47846,No metro,No
-33.20151013,-70.64641285,112,462,3,3,Si,Si,Si,Si,9000,COLINA,16984.1557,No metro,No
-33.20056519,-70.65252522,94,438.84,3,2,No,No,No,No,4640,COLINA,16927.49817,No metro,No
-33.20056519,-70.65252522,94,510.1,3,2,No,No,No,No,4290,COLINA,16927.49817,No metro,No
-33.6162059,-70.8886516,76,183,3,3,Si,Si,Si,Si,3800,PENAFLOR,16916.46035,No metro,No
-33.2015807,-70.6492334,108,435,4,3,No,No,No,No,4025.75,COLINA,16906.1062,No metro,No
-33.201278,-70.650944,94,504.75,3,2,No,No,No,No,4900,COLINA,16894.47726,No metro,No
-33.201354,-70.650888,108,558,4,3,No,No,Si,No,5539.999989,COLINA,16888.4061,No metro,No
-33.20132,-70.651973,108,558.5,4,3,No,No,No,No,5240.000011,COLINA,16866.52526,No metro,No
-33.20168446,-70.65254806,190,450,4,4,Si,Si,Si,Si,7420,COLINA,16817.9422,No metro,No
-33.1999352,-70.6740229,51,305,3,1,Si,Si,Si,Si,3497.91,COLINA,16639.3714,No metro,No
-33.6110225,-70.8876913,63,97,3,2,Si,Si,Si,Si,2700,PENAFLOR,16519.80169,No metro,No
-33.6110225,-70.8876913,63,97,3,2,Si,Si,Si,Si,2700,PENAFLOR,16519.80169,No metro,No
-33.6124202,-70.8864437,86,122,3,3,Si,Si,Si,Si,3700,PENAFLOR,16507.64606,No metro,No
-33.2025612,-70.6812598,80,250,3,2,Si,Si,Si,Si,3100,COLINA,16320.69162,No metro,No
-33.2025612,-70.6812598,80,250,3,2,Si,Si,Si,Si,3100,COLINA,16320.69162,No metro,No
-33.616198,-70.880317,52,70,2,1,Si,Si,Si,Si,1698,PENAFLOR,16275.70997,No metro,No
-33.6089415,-70.8857968,73,181,3,2,No,No,No,No,2475.47,PENAFLOR,16242.71192,No metro,No
-33.2034399,-70.6843908,112,223,3,2,Si,Si,Si,Si,4300,COLINA,16217.94281,No metro,No
-33.203618,-70.686447,66,183,2,1,No,No,No,No,1916.12,COLINA,16193.55453,No metro,No
-33.2045451,-70.6759654,80,160,4,2,Si,Si,Si,Si,2692.77,COLINA,16161.98423,No metro,No
-33.2045451,-70.6759654,111,272,4,4,Si,Si,Si,Si,7800,COLINA,16161.98423,No metro,No
-33.2045451,-70.6759654,100,202,3,2,Si,Si,Si,Si,7100,COLINA,16161.98423,No metro,No
-33.2045451,-70.6759654,150,518,4,4,Si,Si,Si,Si,12700,COLINA,16161.98423,No metro,No
-33.616787,-70.877488,46,128,3,1,No,No,No,No,1344.99999,PENAFLOR,16101.42935,No metro,No
-33.2095579,-70.7278602,140,400,3,3,Si,Si,Si,Si,10300,COLINA,16032.91659,No metro,No
-33.2095579,-70.7278602,140,400,3,3,Si,Si,Si,Si,10270,COLINA,16032.91659,No metro,No
-33.205659,-70.6821313,98,105,4,1,Si,Si,Si,Si,2019.58,COLINA,16006.57696,No metro,No
-33.205659,-70.6821313,98,105,4,1,Si,Si,Si,Si,2019.58,COLINA,16006.57696,No metro,No
-33.205659,-70.6821313,98,105,4,1,Si,Si,Si,Si,2021.92,COLINA,16006.57696,No metro,No
-33.2060006,-70.6813711,120,150,4,1,Si,Si,Si,Si,1696.44,COLINA,15976.68124,No metro,No
-33.206358,-70.682166,61,161,3,1,No,No,No,No,535.86,COLINA,15936.59129,No metro,No
-33.60605,-70.88339,97,97,3,2,Si,Si,Si,Si,1534.88,PENAFLOR,15875.90728,No metro,No
-33.207343,-70.679014,47,209,2,1,No,No,No,No,1001.67,COLINA,15858.16101,No metro,No
-33.6166569,-70.8742181,75,115,3,2,Si,Si,Si,Si,2207,PENAFLOR,15849.45864,No metro,No
-33.6166569,-70.8742181,75,115,3,2,Si,Si,Si,Si,2207,PENAFLOR,15849.45864,No metro,No
-33.6169997,-70.8738642,60,96,4,2,Si,Si,Si,Si,2019.58,PENAFLOR,15846.43322,No metro,No
-33.21000364,-70.66126986,167,330,4,3,Si,Si,Si,Si,9990,COLINA,15824.03912,No metro,No
-33.2094145,-70.6787218,85,462,3,1,Si,Si,Si,Si,2800,COLINA,15653.76517,No metro,No
-33.6069091,-70.8780298,52,94,2,1,Si,Si,Si,Si,2288.85,PENAFLOR,15506.12629,No metro,No
-33.6069091,-70.8780298,52,94,2,1,Si,Si,Si,Si,2423.49,PENAFLOR,15506.12629,No metro,No
-33.6060255,-70.8781837,116,91,3,2,Si,Si,Si,Si,2390,PENAFLOR,15463.1052,No metro,No
-33.6060255,-70.8781837,45,75,2,1,Si,Si,Si,Si,1750,PENAFLOR,15463.1052,No metro,No
-33.619803,-70.8658302,110,266,3,2,Si,Si,Si,Si,4500,PENAFLOR,15461.41556,No metro,No
-33.211866,-70.677173,102,102,4,2,Si,Si,Si,Si,1615.66,COLINA,15422.05752,No metro,No
-33.211335,-70.6921758,72,246,3,1,No,No,No,No,1582.08,COLINA,15417.29413,No metro,No
-33.215483,-70.6653102,91,249,3,3,Si,Si,Si,Si,5490,COLINA,15213.55671,No metro,No
-33.215483,-70.6653102,91,249,3,3,Si,Si,Si,Si,5490,COLINA,15213.55671,No metro,No
-33.21577508,-70.66587567,93,199,3,3,Si,Si,Si,Si,5490,COLINA,15175.4368,No metro,No
-33.2145117,-70.683566,76,197,3,2,Si,Si,Si,Si,3904.51,COLINA,15115.25678,No metro,No
-33.2145117,-70.683566,76,197,3,2,Si,Si,Si,Si,3800,COLINA,15115.25678,No metro,No
-33.2148129,-70.6807083,99,167,3,2,Si,Si,Si,Si,3990,COLINA,15101.21372,No metro,No
-33.5999949,-70.8780837,102,200,3,3,Si,Si,Si,Si,4900,PENAFLOR,15087.90612,No metro,No
-33.214875,-70.682749,62,140,3,2,Si,Si,Si,Si,3400,COLINA,15083.00423,No metro,No
-33.2149144,-70.6822796,75,170,3,3,Si,Si,Si,Si,2695,COLINA,15081.58982,No metro,No
-33.215192,-70.680781,67,200,3,2,No,No,No,No,2127.37,COLINA,15062.90934,No metro,No
-33.2152271,-70.6828922,86,187,3,2,Si,Si,Si,Si,4270,COLINA,15047.10083,No metro,No
-33.597753,-70.878889,105,257,3,3,No,No,No,No,2850,PENAFLOR,15020.51386,No metro,No
-33.597753,-70.878889,105,257,3,3,No,No,No,No,2850,PENAFLOR,15020.51386,No metro,No
-33.2158447,-70.6788496,79,207,3,3,Si,Si,Si,Si,4100,COLINA,15011.67524,No metro,No
-33.597146,-70.879039,95,192,3,3,No,No,No,No,1900,PENAFLOR,14997.32876,No metro,No
-33.615575,-70.863418,90,230,4,2,No,No,No,No,2196.67,PENAFLOR,14991.83847,No metro,No
-33.615575,-70.863418,60,200,1,1,No,No,No,No,1973.27,PENAFLOR,14991.83847,No metro,No
-33.596522,-70.878686,95,190,3,3,No,No,No,No,2080.000006,PENAFLOR,14932.36666,No metro,No
-33.596522,-70.878686,95,191,3,3,No,No,No,No,1900,PENAFLOR,14932.36666,No metro,No
-33.596442,-70.878621,101,253,3,3,No,No,No,No,3000,PENAFLOR,14922.43341,No metro,No
-33.596722,-70.878139,62,164,3,1,No,No,No,No,1142.53,PENAFLOR,14899.45813,No metro,No
-33.6114633,-70.8655802,84,134,4,3,Si,Si,Si,Si,4873.91,PENAFLOR,14862.358,No metro,No
-33.6114633,-70.8655802,84,134,4,3,Si,Si,Si,Si,4873.91,PENAFLOR,14862.358,No metro,No
-33.612172,-70.863841,73,181,3,2,No,No,No,No,2542.94,PENAFLOR,14784.66801,No metro,No
-33.612172,-70.863841,72,180,3,2,No,No,No,No,2428.7,PENAFLOR,14784.66801,No metro,No
-33.60334289,-70.87072524,89,180,3,3,Si,Si,Si,Si,3900,PENAFLOR,14714.12759,No metro,No
-33.218695,-70.6831575,85,205,3,2,Si,Si,Si,Si,4630,COLINA,14699.40907,No metro,No
-33.218695,-70.6831575,85,205,3,2,Si,Si,Si,Si,4630,COLINA,14699.40907,No metro,No
-33.6090683,-70.8649671,69,169,3,2,No,No,No,No,1163.16,PENAFLOR,14654.63596,No metro,No
-33.2190379,-70.6862378,130,232,4,3,Si,Si,Si,Si,5850,COLINA,14652.7375,No metro,No
-33.2190379,-70.6862378,130,232,4,3,Si,Si,Si,Si,5850,COLINA,14652.7375,No metro,No
-33.6078372,-70.8659753,82,90,2,2,Si,Si,Si,Si,2154.21,PENAFLOR,14646.53739,No metro,No
-33.6102323,-70.8627882,91,132,3,3,Si,Si,Si,Si,3096.68,PENAFLOR,14574.6702,No metro,No
-33.6102323,-70.8627882,91,132,3,3,Si,Si,Si,Si,3096.68,PENAFLOR,14574.6702,No metro,No
-33.6102323,-70.8627882,91,132,3,3,Si,Si,Si,Si,3096.68,PENAFLOR,14574.6702,No metro,No
-33.60162538,-70.86754596,85,269,3,2,No,No,No,No,2959.9,PENAFLOR,14359.58389,No metro,No
-33.6011862,-70.8679039,78,260,3,2,Si,Si,Si,Si,3850,PENAFLOR,14359.22316,No metro,No
-33.6011862,-70.8679039,78,260,3,2,Si,Si,Si,Si,3850,PENAFLOR,14359.22316,No metro,No
-33.60010999,-70.86748395,110,220,4,3,Si,Si,Si,Si,5300,PENAFLOR,14258.54219,No metro,No
-33.6048874,-70.8631562,90,95,3,2,Si,Si,Si,Si,2500,PENAFLOR,14239.73332,No metro,No
-33.6046673,-70.8629618,79,89,3,2,Si,Si,Si,Si,1588.73,PENAFLOR,14210.5715,No metro,No
-33.6046673,-70.8629618,79,89,3,2,Si,Si,Si,Si,1588.73,PENAFLOR,14210.5715,No metro,No
-33.6046673,-70.8629618,79,89,3,2,Si,Si,Si,Si,1590.58,PENAFLOR,14210.5715,No metro,No
-33.2268677,-70.6716811,125,476,4,3,Si,Si,Si,Si,10000,COLINA,13991.87468,No metro,No
-33.6010749,-70.862616,90,140,3,3,Si,Si,Si,Si,4250,PENAFLOR,13947.57032,No metro,No
-33.599476,-70.861445,63,212,3,2,No,No,No,No,2366.95,PENAFLOR,13754.54097,No metro,No
-33.601685,-70.857104,64,261,3,2,No,No,No,No,1978.04,PENAFLOR,13576.09482,No metro,No
-33.59996235,-70.85611869,88,160,3,3,Si,Si,Si,Si,4450,PENAFLOR,13387.21509,No metro,No
-33.60004724,-70.85589593,60,153,3,2,Si,Si,Si,Si,3204.39,PENAFLOR,13376.44409,No metro,No
-33.5991281,-70.856566,91,171,3,3,Si,Si,Si,Si,4300,PENAFLOR,13364.57676,No metro,No
-33.5999477,-70.8543046,93,140,3,3,Si,Si,Si,Si,4580,PENAFLOR,13252.46246,No metro,No
-33.5999477,-70.8543046,93,140,3,3,Si,Si,Si,Si,4580,PENAFLOR,13252.46246,No metro,No
-33.5999477,-70.8543046,93,140,3,3,Si,Si,Si,Si,4580,PENAFLOR,13252.46246,No metro,No
-33.59619,-70.8519549,80,140,3,3,Si,Si,Si,Si,4120,PENAFLOR,12825.36333,No metro,No
-33.59619,-70.8519549,80,140,3,3,Si,Si,Si,Si,4120,PENAFLOR,12825.36333,No metro,No
-33.59619,-70.8519549,80,140,3,3,Si,Si,Si,Si,4150,PENAFLOR,12825.36333,No metro,No
-33.255736,-70.637457,140,576,3,3,Si,Si,Si,Si,11500,COLINA,12195.68916,No metro,No
-33.255736,-70.637457,150,410,4,4,Si,Si,Si,Si,10990,COLINA,12195.68916,No metro,No
-33.255736,-70.637457,155,400,4,4,Si,Si,Si,Si,10900,COLINA,12195.68916,No metro,No
-33.2588123,-70.6426845,159,457,3,4,Si,Si,Si,Si,13600,COLINA,11695.81751,No metro,No
-33.2588123,-70.6426845,160,480,3,3,Si,Si,Si,Si,12990,COLINA,11695.81751,No metro,No
-33.2588123,-70.6426845,154,594,3,3,Si,Si,Si,Si,11500,COLINA,11695.81751,No metro,No
-33.2588123,-70.6426845,154,594,3,3,Si,Si,Si,Si,11900,COLINA,11695.81751,No metro,No
-33.643883,-70.701595,72,213,3,3,No,No,No,No,2328.26,SAN BERNARDO,11281.40338,No metro,No
-33.6449496,-70.6952524,77,151,3,2,Si,Si,Si,Si,2459.8413,SAN BERNARDO,11190.93599,No metro,No
-33.643501,-70.699084,91,266,3,3,No,No,No,No,1713.4,SAN BERNARDO,11164.80143,No metro,No
-33.643908,-70.6977,95,273,3,3,No,No,No,No,3101.28,SAN BERNARDO,11161.42048,No metro,No
-33.6408588,-70.7058764,68,222,3,2,No,No,No,No,1628.39,SAN BERNARDO,11148.46025,No metro,No
-33.6436392,-70.697735,140,178,4,2,Si,Si,Si,Si,2541.2751,SAN BERNARDO,11136.81502,No metro,No
-33.642988,-70.69943,110,335,3,3,No,No,No,No,1708.48,SAN BERNARDO,11126.89678,No metro,No
-33.642492,-70.699696,91,190,4,2,No,No,No,No,2023.01,SAN BERNARDO,11088.26966,No metro,No
-33.64385,-70.69503,94,180,4,3,Si,Si,Si,Si,2765.7,SAN BERNARDO,11079.10983,No metro,No
-33.6378,-70.708819,118,236,4,3,No,No,No,No,1180.000011,SAN BERNARDO,10980.8434,No metro,No
-33.643294,-70.688881,82,150,3,2,Si,Si,Si,Si,2261.7,SAN BERNARDO,10870.90857,No metro,No
-33.6431284,-70.6890056,90,170,3,2,Si,Si,Si,Si,2551.5,SAN BERNARDO,10857.59195,No metro,No
-33.642531,-70.689458,81,346,3,3,No,No,No,No,1743.84,SAN BERNARDO,10809.81366,No metro,No
-33.640877,-70.693977,76,225,3,2,No,No,No,No,2666.9,SAN BERNARDO,10764.30184,No metro,No
-33.640877,-70.693977,76,225,3,2,No,No,No,No,2821.62,SAN BERNARDO,10764.30184,No metro,No
-33.2902523,-70.7675401,54,105,3,1,Si,Si,Si,Si,1548.34,LAMPA,10761.18153,No metro,No
-33.640936,-70.693298,76,211,3,3,No,No,No,No,1863.04,SAN BERNARDO,10751.52415,No metro,No
-33.6418258,-70.68987833,85,146,5,2,Si,Si,Si,Si,2387.7,SAN BERNARDO,10751.11208,No metro,No
-33.2654212,-70.6528967,140,590,3,3,Si,Si,Si,Si,11214,COLINA,10694.92152,No metro,No
-33.2654212,-70.6528967,140,480,3,3,Si,Si,Si,Si,11010,COLINA,10694.92152,No metro,No
-33.454188,-70.8539574,85,192,3,3,Si,Si,Si,Si,7135.84,PUDAHUEL,10589.44431,No metro,No
-33.4627308,-70.8570669,95,150,3,3,Si,Si,Si,Si,4800,PUDAHUEL,10567.7083,No metro,No
-33.4582065,-70.8518804,110,190,3,3,Si,Si,Si,Si,5980,PUDAHUEL,10241.01429,No metro,No
-33.4562513,-70.850481,165,320,5,3,Si,Si,Si,Si,7950,PUDAHUEL,10188.19173,No metro,No
-33.6276321,-70.7097853,48,107,3,1,No,No,No,No,676.63,SAN BERNARDO,10102.42562,No metro,No
-33.63706049,-70.67728052,115,200,3,2,Si,Si,Si,Si,3213,SAN BERNARDO,10051.16108,No metro,No
-33.637363,-70.674042,76,246,3,2,No,No,No,No,1607.42,SAN BERNARDO,10044.91227,No metro,No
-33.637363,-70.674042,112,274,3,2,No,No,No,No,2102.01,SAN BERNARDO,10044.91227,No metro,No
-33.636948,-70.673724,98,262,1,1,No,No,No,No,2202.99,SAN BERNARDO,10000.5889,No metro,No
-33.629085,-70.7038167,59,62,3,1,Si,Si,Si,Si,998.55,SAN BERNARDO,9982.027147,No metro,No
-33.6365893,-70.6749917,103,303,3,3,No,No,No,No,2595.96,SAN BERNARDO,9977.539634,No metro,No
-33.636422,-70.674584,106,301,4,2,No,No,No,No,1850.12,SAN BERNARDO,9956.650494,No metro,No
-33.45815098,-70.84876309,165,320,5,3,Si,Si,Si,Si,7950,PUDAHUEL,9955.34644,No metro,No
-33.4500159,-70.8446374,137,280,3,3,Si,Si,Si,Si,5990,PUDAHUEL,9934.462308,No metro,No
-33.6273745,-70.7051145,70,116,3,3,Si,Si,Si,Si,2268,SAN BERNARDO,9877.896952,No metro,No
-33.626452,-70.7069152,58,74,4,1,Si,Si,Si,Si,1357.1523,SAN BERNARDO,9870.144278,No metro,No
-33.626452,-70.7069152,58,74,4,1,Si,Si,Si,Si,1357.1523,SAN BERNARDO,9870.144278,No metro,No
-33.626452,-70.7069152,58,74,4,1,Si,Si,Si,Si,1357.1523,SAN BERNARDO,9870.144278,No metro,No
-33.62454,-70.71038,65,120,3,2,Si,Si,Si,Si,1921.5,SAN BERNARDO,9854.770689,No metro,No
-33.45171,-70.843792,140,315,3,3,Si,Si,Si,Si,7500,PUDAHUEL,9780.496012,No metro,No
-33.633988,-70.67465,90,265,3,3,No,No,No,No,2706.34,SAN BERNARDO,9715.254041,No metro,No
-33.6225486,-70.7108014,98,98,4,3,Si,Si,Si,Si,3143.7,SAN BERNARDO,9699.174936,No metro,No
-33.6237346,-70.7079437,75,100,1,2,Si,Si,Si,Si,2120.5548,SAN BERNARDO,9671.492876,No metro,No
-33.4480713,-70.840528,140,210,4,3,Si,Si,Si,Si,5300,PUDAHUEL,9671.162272,No metro,No
-33.3871871,-70.8178947,42,100,5,2,Si,Si,Si,Si,2412,PUDAHUEL,9612.635088,No metro,No
-33.386923,-70.817554,42,100,3,1,Si,Si,Si,Si,2181.14,PUDAHUEL,9601.357905,No metro,No
-33.6457944,-70.6639564,52,70,3,2,Si,Si,Si,Si,1108.8,SAN BERNARDO,9521.474128,No metro,No
-33.449117,-70.839345,142,215,3,3,Si,Si,Si,Si,6400,PUDAHUEL,9516.27247,No metro,No
-33.4509181,-70.8392897,140,284,3,3,Si,Si,Si,Si,6900,PUDAHUEL,9422.154702,No metro,No
-33.4509181,-70.8392897,140,284,3,3,Si,Si,Si,Si,6900,PUDAHUEL,9422.154702,No metro,No
-33.4506491,-70.8386236,140,276,4,3,Si,Si,Si,Si,6750,PUDAHUEL,9377.361468,No metro,No
-33.629937,-70.67677,109,150,4,3,Si,Si,Si,Si,2544.6645,SAN BERNARDO,9338.233029,No metro,No
-33.627059,-70.684545,83,245,3,3,No,No,No,No,2100,SAN BERNARDO,9191.639497,No metro,No
-33.6157432,-70.7092866,78,198,3,3,No,No,No,No,1594.55,SAN BERNARDO,9031.1576,No metro,No
-33.6167572,-70.7060192,147,90,4,3,Si,Si,Si,Si,2035.7316,SAN BERNARDO,8962.959849,No metro,No
-33.6167572,-70.7060192,147,90,4,3,Si,Si,Si,Si,2035.7316,SAN BERNARDO,8962.959849,No metro,No
-33.6167572,-70.7060192,147,90,4,3,Si,Si,Si,Si,2035.7316,SAN BERNARDO,8962.959849,No metro,No
-33.6154869,-70.7077585,70,79,3,2,Si,Si,Si,Si,2188.4121,SAN BERNARDO,8933.76737,No metro,No
-33.622248,-70.690907,58,142,3,3,No,No,No,No,1486.601999,SAN BERNARDO,8891.398653,No metro,No
-33.32681703,-70.77061124,51,127,2,1,Si,Si,Si,Si,1009.79,LAMPA,8886.174975,No metro,No
-33.623372,-70.686575,78,285,5,2,No,No,No,No,2285.44,SAN BERNARDO,8880.783592,No metro,No
-33.3361708,-70.7740646,51,142.31,3,1,Si,Si,Si,Si,1250,LAMPA,8845.736445,No metro,No
-33.6220676,-70.6897367,58,83,3,2,Si,Si,Si,Si,1594.656,SAN BERNARDO,8839.92576,No metro,No
-33.622232,-70.688962,61,145,2,2,No,No,No,No,1548.46,SAN BERNARDO,8833.821676,No metro,No
-33.6216797,-70.6888415,55,171,2,1,No,No,No,No,1759.5,SAN BERNARDO,8777.42001,No metro,No
-33.323796,-70.76751,59,254,3,2,Si,Si,Si,Si,1700,LAMPA,8747.959658,No metro,No
-33.6217614,-70.6853776,98,200,3,2,Si,Si,Si,Si,2799.1341,SAN BERNARDO,8695.253747,No metro,No
-33.3252878,-70.7674474,50,125,3,1,Si,Si,Si,Si,1550,LAMPA,8672.285393,No metro,No
